epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,582.758,2.51849,0.83087,0.71956,0.87918,0.75248,0.77373,0.32218,2.29078,0.81824,0.67308,0.0006338,0.0006338,0.0006338
71,590.87,2.48715,0.78309,0.72472,0.83836,0.73267,0.73783,0.24306,2.55298,0.90785,0.67779,0.000614,0.000614,0.000614
72,598.988,2.58942,0.8044,0.72793,0.84386,0.75248,0.8068,0.32424,2.36892,0.82105,0.67576,0.0005942,0.0005942,0.0005942
73,607.06,2.57135,0.79722,0.7353,0.82268,0.76238,0.79404,0.28096,2.54286,0.83398,0.67853,0.0005744,0.0005744,0.0005744
74,615.181,2.47236,0.79358,0.73258,0.82672,0.74257,0.76271,0.32082,2.38666,0.81776,0.67465,0.0005546,0.0005546,0.0005546
75,623.303,2.48247,0.83943,0.72491,0.88362,0.79208,0.82191,0.30442,2.36697,0.8181,0.67405,0.0005348,0.0005348,0.0005348
76,631.447,2.4614,0.80077,0.71487,0.86662,0.74257,0.77092,0.32604,2.3326,0.80862,0.67246,0.000515,0.000515,0.000515
77,639.494,2.51534,0.79869,0.7258,0.87881,0.74257,0.79165,0.34252,2.29782,0.78345,0.67531,0.0004952,0.0004952,0.0004952
78,647.651,2.48596,0.76494,0.71594,0.86332,0.75248,0.78092,0.3179,2.36787,0.81051,0.67508,0.0004754,0.0004754,0.0004754
79,655.825,2.50822,0.77493,0.72615,0.90334,0.72277,0.78795,0.33723,2.24028,0.74469,0.67552,0.0004556,0.0004556,0.0004556
80,663.936,2.50221,0.78184,0.73157,0.84857,0.71287,0.74291,0.30074,2.37752,0.82035,0.67821,0.0004358,0.0004358,0.0004358
81,671.98,2.44347,0.76293,0.71081,0.88012,0.72277,0.77045,0.29611,2.43707,0.79624,0.67811,0.000416,0.000416,0.000416
82,680.119,2.49156,0.76803,0.72499,0.88514,0.73267,0.75646,0.31809,2.37577,0.75324,0.67435,0.0003962,0.0003962,0.0003962
83,688.407,2.53022,0.80772,0.7138,0.87143,0.76238,0.8074,0.30226,2.27036,0.75863,0.67778,0.0003764,0.0003764,0.0003764
84,696.561,2.53721,0.77131,0.73387,0.86772,0.76238,0.80914,0.32927,2.29915,0.79771,0.67381,0.0003566,0.0003566,0.0003566
85,704.59,2.49298,0.76628,0.71903,0.90644,0.76739,0.81017,0.32093,2.31013,0.80113,0.6736,0.0003368,0.0003368,0.0003368
86,712.784,2.51437,0.79,0.71697,0.92088,0.74257,0.78145,0.33872,2.2406,0.81173,0.67161,0.000317,0.000317,0.000317
87,721.767,2.44803,0.75936,0.71764,0.83595,0.75681,0.764,0.32054,2.33294,0.79586,0.67494,0.0002972,0.0002972,0.0002972
88,730.955,2.4617,0.75636,0.7208,0.89241,0.73915,0.77758,0.29541,2.41668,0.84185,0.678,0.0002774,0.0002774,0.0002774
89,739.932,2.47551,0.75312,0.72271,0.85251,0.74398,0.7941,0.34058,2.25126,0.80099,0.6729,0.0002576,0.0002576,0.0002576
90,748.639,2.46468,0.74733,0.71339,0.8827,0.74257,0.80289,0.31495,2.41378,0.76375,0.67916,0.0002378,0.0002378,0.0002378
91,785.638,2.34486,0.80376,0.74659,0.86197,0.74194,0.78121,0.34643,2.28204,0.77265,0.67389,0.000218,0.000218,0.000218
92,794.156,2.22631,0.67662,0.73997,0.82857,0.76571,0.79368,0.34759,2.24527,0.72563,0.67348,0.0001982,0.0001982,0.0001982
93,802.562,2.1665,0.67091,0.73983,0.88035,0.7285,0.7856,0.32237,2.334,0.80197,0.67713,0.0001784,0.0001784,0.0001784
94,811.106,2.26556,0.70351,0.7481,0.88336,0.72277,0.79045,0.32643,2.30222,0.79531,0.6764,0.0001586,0.0001586,0.0001586
95,819.521,2.20406,0.69058,0.7169,0.88247,0.73267,0.79427,0.34018,2.23801,0.72682,0.67364,0.0001388,0.0001388,0.0001388
96,827.953,2.16312,0.64063,0.74752,0.86433,0.75694,0.79531,0.34402,2.25009,0.7126,0.67215,0.000119,0.000119,0.000119
97,836.405,2.20321,0.66542,0.74386,0.86566,0.76559,0.79369,0.34477,2.27962,0.71954,0.67167,9.92e-05,9.92e-05,9.92e-05
98,844.949,2.14671,0.63769,0.74273,0.86438,0.75726,0.79354,0.33917,2.2857,0.76673,0.67385,7.94e-05,7.94e-05,7.94e-05
99,853.454,2.15699,0.70764,0.74499,0.90415,0.74723,0.80992,0.35126,2.26746,0.75574,0.67494,5.96e-05,5.96e-05,5.96e-05
100,861.921,2.11024,0.64098,0.73784,0.90429,0.74842,0.8114,0.34858,2.25991,0.75373,0.67481,3.98e-05,3.98e-05,3.98e-05
